"issue","subject","company","response","product_area","status","request_type","justification"
"I notice that people I assigned the test in October of 2025 have not received new tests. How long do the tests stay active in the system.","Test Active in the system","HackerRank","Based on the available support guidance, You do not have admin access to your HackerRank account. Only admins can access the integration settings page. **Why don’t I see the ATS Settings updated message after I click Test and Save?**

Verify that you entered the correct Greenhouse User ID and Harvest API Token in HackerRank. If this does not resolve your case, please reply with additional details.","Assessment support","replied","product_issue","Fallback grounded response using 3 retrieved passages with high confidence."
"site is down & none of the pages are accessible","","None","Based on the available support guidance, We are committed to our users’ safety across our products. We provide users with a reporting tool that is accessible within Claude by clicking on the ‘thumbs down’ button on Claude’s response. This will begin the reporting process. If this does not resolve your case, please reply with additional details.","Bug report","escalated","bug","Fallback grounded response using 3 retrieved passages with high confidence."
"I'm noticing that you all have many default versions of roles. (e.g. front end developer for react, angular, vue.js, etc.) What do you consider best practice 
for when to create a new test versus create a variant of the test? What are the advantages and disadvantages of using variants?","When should I create a variant versus
 have a different test?","HackerRank","Based on the available support guidance, ---
title: ""Create Test Variants""
title_slug: ""create-test-variants""
source_url: ""https://support.hackerrank.com/articles/7530103378-test-variants""
article_slug: ""7530103378-test-variants""
last_updated_exact: ""Jan 28, 2026, 9:48 AM""
last_updated_relative: ""Last updated 3 months ago""
breadcrumbs:
  - ""Screen""
  - ""Managing Tests""
---

# Create Test Variants

_Last updated: Jan 28, 2026, 9:48 AM (Last updated 3 months ago)_

Test variants allow you to create a single assessment that adapts to different candidate profiles. You can design multiple variants within the same assessment to personalize the evaluation based on roles, skills, or other criteria. This approach eliminates the need to manage separate tests, improves efficiency, and ensures candidates are assessed on the most relevant content. If this does not resolve your case, please reply with additional details.","Assessment support","replied","product_issue","Fallback grounded response using 3 retrieved passages with high confidence."
"Hi there

We have sent a candidate a Hackerrank assessment already, but we have been informed that they require extra time. As the assessment is 105 minutes, they need an extra 50% extra time added (so around 53 minutes) in addition.

Please can you provide step-by-step instruction on how we are to reinvite them.

Do we find their profile in 'Candidates' , put in Add time 53 minutes and then click 'reinvite' and send the email? The email to the candidate says 105 minutes as the duration though still so not sure how we can check?

Thanks","How to reinvite candidate to Hackerrank 
assessment and add extra time","HackerRank","Based on the available support guidance, - Provide links to the [Candidate Support Page](https://candidatesupport.hackerrank.com/hc/en-us) to enable candidates to prepare for, take part in, or follow up on an assessment or interview, along with answers to FAQs. - Ensure test benchmarking is done internally to finalize an appropriate test to test the right skills with hiring managers/tech council. ### **After the test goes live: **

- Set up recurring test optimization checks with recruiter and hiring manager - check on test relevance, test difficulty levels, candidate feedback after test, performance funnel, and update test accordingly. If this does not resolve your case, please reply with additional details.","Assessment support","replied","product_issue","Fallback grounded response using 3 retrieved passages with high confidence."
"i signed up using google login on hackerrank community , so i do not have a separate hackerrank password. please delete my account
","","HackerRank","Based on the available support guidance, --- title: ""Manage Account FAQs Account sign-in Update or reset password Merge multiple HackerRank accounts Delete an account"" title_slug: ""manage-account-faqs-account-sign-in-update-or-reset-password-merge-multiple-hackerrank-accounts-delete-an-account"" source_url: ""https://help.hackerrank.com/articles/1917106962-manage-account-faqs"" article_slug: ""1917106962-manage-account-faqs"" last_updated_exact: ""Mar 12, 2026, 2:21 PM"" last_updated_relative: ""Last updated 1 month ago"" breadcrumbs: - ""Account Settings"" - ""Manage Account"" --- # Manage Account FAQs Account sign-in Update or reset password Merge multiple HackerRank accounts Delete an account _Last updated: Mar 12, 2026, 2:21 PM (Last updated 1 month ago)_ # Account sign-in **What happens to Google Auth sign-in if my company email domain changes?** If your company changes its email domain, create a new HackerRank account using your new company email. Then, merge your existing account with the new one and set the new account as your primary login. # Update or reset password **How do I update my password if I sign up using a If this does not resolve your case, please reply with additional details.","Account & access","replied","product_issue","Fallback grounded response using 3 retrieved passages with high confidence."
"One of my claude conversations has some private info, i forgot to make a temporary chat, is there anything
 else that can be done? like delete etc?","","Claude","Based on the available support guidance, Questions about Claude, your account, technical issues, or billing aren't something they can address. - **Your Claude activity stays private. **Anthropic doesn't send your conversations to helplines. If this does not resolve your case, please reply with additional details.","Claude.ai usage","replied","product_issue","Fallback grounded response using 3 retrieved passages with high confidence."
"What is the name of the actor in Iron Man?","Urgent, please help","None ","This request is outside supported topics. If you need help with HackerRank, Claude, or Visa services, please share a product-related support question.","Out of scope","replied","invalid","Out-of-scope or insufficiently actionable query."
"I bought Visa Traveller's Cheques from Citicorp and they were stolen in Lisbon last night. What do I do?","","Visa","Based on the available support guidance, - What are the cheque serial numbers? - Where and when did you buy the cheques? - How and when do you think the cheques were lost or stolen? If this does not resolve your case, please reply with additional details.","Card support","replied","product_issue","Fallback grounded response using 3 retrieved passages with high confidence."
"Where can I report a lost or stolen Visa card from India?","Card stolen","Visa","Based on the available support guidance, To review why your card was declined, please contact your issuer or bank using the freephone number (only free when dialling from within the USA) located on the front or back of your Visa card. Your card may be declined for various reasons. Your issuer or bank is best equipped to provide the specific decline reason and provide guidance on how to process the transaction. If this does not resolve your case, please reply with additional details.","Card support","replied","product_issue","Fallback grounded response using 3 retrieved passages with high confidence."
"Thank you for helping me","","None","Based on the available support guidance, Enjoy privileges from participating merchants when booking flights, hotels, accommodations, and more.​

------------------------------------------------------------------------

## Travel tips for every stage of your journey

### Activate your credit and debit cards before you travel

Check with your bank to confirm that your payment card has been activated for overseas travel use and take note of the daily ATM withdrawal limit for your card. Know the expiry dates, account balance and amount of credit available to you. This way, you won’t be caught short with a card that doesn’t work while you’re away, or not have enough credit to cover your trip expenses. If this does not resolve your case, please reply with additional details.","Card support","replied","product_issue","Fallback grounded response using 3 retrieved passages with high confidence."
